               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.084808,               0.198,                   0,             0.70153,             0.49271,             0.56887,             0.22821,            0.081933,             0.19404,                   0,           0.0052598,           0.0052598,             0.03336
                  60,              0.0823,             0.20078,                   0,             0.65727,             0.47982,              0.5518,             0.22139,            0.081886,             0.19261,                   0,           0.0052896,           0.0052896,             0.03219
                  61,            0.083099,             0.19704,                   0,             0.65069,             0.49439,             0.56579,             0.22357,            0.081754,             0.19255,                   0,            0.005317,            0.005317,            0.031017
                  62,            0.083605,             0.19981,                   0,             0.69928,              0.4843,             0.56606,             0.22466,            0.083136,             0.20168,                   0,           0.0053421,           0.0053421,            0.029842
                  63,            0.082504,              0.1967,                   0,             0.64588,             0.48262,             0.55309,             0.22222,            0.082174,              0.1946,                   0,            0.005365,            0.005365,            0.028665
                  64,            0.082433,             0.20036,                   0,             0.69203,             0.50112,             0.58816,             0.23968,            0.081405,             0.19359,                   0,           0.0053855,           0.0053855,            0.027486
                  65,            0.081471,              0.1998,                   0,             0.69896,             0.46724,             0.56314,             0.22772,            0.081621,              0.1957,                   0,           0.0054038,           0.0054038,            0.026304
                  66,            0.082003,             0.19916,                   0,             0.72859,             0.47478,             0.57744,             0.23769,            0.081419,             0.19514,                   0,           0.0054199,           0.0054199,             0.02512
                  67,            0.082693,             0.19525,                   0,             0.67953,             0.54079,             0.61311,              0.2544,             0.08018,             0.19318,                   0,           0.0054337,           0.0054337,            0.023934
                  68,            0.080452,              0.1989,                   0,             0.72877,              0.4925,             0.59538,             0.25324,            0.079826,             0.19248,                   0,           0.0054452,           0.0054452,            0.022745
                  69,            0.080382,             0.19895,                   0,             0.71328,              0.5028,             0.59625,             0.24595,            0.080168,             0.19366,                   0,           0.0054546,           0.0054546,            0.021555
                  70,            0.079748,             0.19912,                   0,             0.67945,             0.53531,              0.6132,               0.265,            0.079894,              0.1968,                   0,           0.0054618,           0.0054618,            0.020362
                  71,            0.080471,             0.19964,                   0,             0.70547,             0.52747,             0.61089,             0.26284,            0.079405,             0.19282,                   0,           0.0054669,           0.0054669,            0.019167
                  72,            0.080879,             0.19566,                   0,             0.72998,             0.49944,             0.59519,             0.24553,            0.080795,             0.20113,                   0,           0.0054698,           0.0054698,             0.01797
                  73,            0.080986,             0.20038,                   0,             0.66471,             0.51682,             0.58649,             0.24555,             0.08092,             0.20165,                   0,           0.0054706,           0.0054706,            0.016771
                  74,            0.081245,             0.19305,                   0,             0.75557,             0.54036,             0.63723,             0.27668,             0.07917,             0.19724,                   0,           0.0054693,           0.0054693,            0.015569
                  75,            0.079958,              0.1944,                   0,             0.72719,             0.53139,             0.62798,             0.27624,            0.078245,             0.19081,                   0,            0.005466,            0.005466,            0.014366
                  76,            0.079725,             0.19359,                   0,             0.71687,             0.54933,             0.63525,             0.27196,            0.078434,             0.19268,                   0,           0.0054607,           0.0054607,            0.013161
                  77,             0.07947,             0.19687,                   0,             0.74915,             0.54933,             0.64835,             0.28554,            0.078332,             0.19528,                   0,           0.0054534,           0.0054534,            0.011953
                  78,            0.078785,             0.19841,                   0,             0.73609,             0.54428,             0.63119,             0.28089,            0.077832,             0.19243,                   0,           0.0054441,           0.0054441,            0.010744
                  79,            0.079292,              0.1972,                   0,              0.7426,             0.48711,              0.6015,              0.2592,            0.078812,             0.19147,                   0,            0.005433,            0.005433,            0.009533
                  80,            0.079125,             0.19931,                   0,             0.68755,             0.53419,             0.61149,               0.276,            0.078968,             0.19213,                   0,             0.00542,             0.00542,             0.00832
                  81,            0.079178,             0.19785,                   0,             0.70323,             0.58016,              0.6442,             0.28985,            0.077977,             0.19113,                   0,           0.0054052,           0.0054052,           0.0071052
                  82,            0.078601,             0.19695,                   0,             0.72698,             0.54628,             0.64156,             0.28309,            0.077433,              0.1909,                   0,           0.0053886,           0.0053886,           0.0058886
                  83,            0.078236,             0.20012,                   0,             0.62725,             0.51233,             0.57414,             0.25271,            0.081834,             0.21242,                   0,           0.0053329,           0.0053329,           0.0053329
                  84,            0.077465,             0.20095,                   0,             0.83285,             0.52466,             0.65894,             0.29877,            0.077128,             0.19148,                   0,           0.0053329,           0.0053329,           0.0053329
                  85,            0.078676,             0.19598,                   0,             0.72049,             0.56783,             0.64807,             0.28997,            0.077145,             0.19031,                   0,           0.0052505,           0.0052505,           0.0052505
                  86,            0.079473,             0.19792,                   0,             0.77842,             0.56783,             0.67367,             0.29236,            0.078159,             0.20782,                   0,           0.0051684,           0.0051684,           0.0051684
                  87,            0.078597,             0.19555,                   0,             0.79605,             0.57904,             0.67777,             0.31895,            0.076418,             0.19134,                   0,           0.0050866,           0.0050866,           0.0050866
                  88,            0.078939,             0.19594,                   0,             0.71838,             0.57231,             0.64943,             0.29648,            0.077161,             0.19266,                   0,           0.0050052,           0.0050052,           0.0050052
                  89,            0.078572,             0.19478,                   0,              0.7652,             0.57727,             0.67834,             0.31606,            0.076371,             0.19339,                   0,           0.0049243,           0.0049243,           0.0049243
                  90,            0.078531,             0.19556,                   0,             0.75219,             0.59081,             0.68057,             0.31537,            0.076294,             0.19372,                   0,           0.0048439,           0.0048439,           0.0048439
                  91,            0.077071,             0.20039,                   0,             0.71842,             0.52018,             0.61439,             0.27873,            0.077649,             0.19347,                   0,           0.0047639,           0.0047639,           0.0047639
                  92,            0.078528,             0.19429,                   0,             0.75352,              0.5518,             0.64429,             0.29976,            0.076669,             0.19091,                   0,           0.0046845,           0.0046845,           0.0046845
                  93,             0.07762,             0.19198,                   0,             0.74226,              0.5553,             0.64993,             0.30206,            0.076473,              0.1908,                   0,           0.0046057,           0.0046057,           0.0046057
                  94,            0.078521,             0.19301,                   0,              0.7976,             0.52298,             0.64772,             0.30656,            0.076163,             0.18981,                   0,           0.0045275,           0.0045275,           0.0045275
                  95,            0.077602,             0.19566,                   0,             0.77285,             0.57567,             0.67581,             0.31952,             0.07562,             0.18963,                   0,           0.0044499,           0.0044499,           0.0044499
                  96,            0.077544,             0.19408,                   0,             0.78638,             0.57157,             0.68288,             0.32802,            0.075123,             0.18957,                   0,           0.0043731,           0.0043731,           0.0043731
                  97,            0.075958,             0.19275,                   0,              0.7572,             0.57399,             0.67645,             0.32156,            0.075308,             0.18934,                   0,           0.0042969,           0.0042969,           0.0042969
                  98,            0.076139,              0.2004,                   0,             0.80758,             0.55992,             0.67835,             0.32671,            0.075025,             0.18848,                   0,           0.0042215,           0.0042215,           0.0042215
                  99,            0.076114,             0.19447,                   0,             0.82941,             0.55774,             0.68545,             0.32306,            0.075386,             0.19072,                   0,           0.0041468,           0.0041468,           0.0041468
                 100,            0.075854,               0.198,                   0,             0.73982,             0.59612,             0.68234,              0.3201,            0.075156,             0.18915,                   0,            0.004073,            0.004073,            0.004073
                 101,            0.077369,             0.19141,                   0,             0.78245,             0.59081,             0.69494,             0.33611,            0.074622,             0.18896,                   0,               0.004,               0.004,               0.004
                 102,            0.077105,             0.19386,                   0,             0.76922,               0.588,             0.69043,             0.33063,            0.074734,             0.18902,                   0,           0.0039279,           0.0039279,           0.0039279
                 103,             0.07596,             0.19208,                   0,             0.77843,             0.56518,             0.67301,             0.32958,            0.074754,             0.18852,                   0,           0.0038567,           0.0038567,           0.0038567
                 104,            0.076661,             0.18987,                   0,             0.78072,             0.54483,             0.66081,             0.32032,            0.075152,             0.18855,                   0,           0.0037864,           0.0037864,           0.0037864
                 105,            0.076429,             0.19568,                   0,             0.78318,             0.57503,             0.68268,             0.33489,            0.074484,             0.18809,                   0,           0.0037171,           0.0037171,           0.0037171
                 106,            0.077187,              0.1934,                   0,             0.77408,             0.60034,             0.69412,             0.34166,            0.074507,             0.18936,                   0,           0.0036489,           0.0036489,           0.0036489
